Query,MMR,MMR Solution,Actual Solution,Error rate,Time since start
0,0.21650343821629506,[17402. 17633. 18276.],[20260. 19926. 18312.],0.9193629742727946,0.3371694087982178
1,0.128151698270473,[16736. 17774. 18769.],[20260. 19926. 18312.],0.9170462122810742,1.0386102199554443
2,0.08151878350718664,[17290. 17634. 18945.],[20260. 19926. 18312.],0.9317446437086436,1.7500767707824707
3,0.07668264221712857,[17290. 17634. 18945.],[20260. 19926. 18312.],0.9317446437086436,2.488720417022705
4,0.040385671104192014,[17290. 17634. 18945.],[20260. 19926. 18312.],0.9317446437086436,3.235297918319702
5,0.03635625843103279,[17290. 17634. 18945.],[20260. 19926. 18312.],0.9317446437086436,3.9969379901885986
6,0.02764389320238818,[17290. 17634. 18945.],[20260. 19926. 18312.],0.9317446437086436,4.781657934188843
7,0.020170862885564102,[17290. 17634. 18945.],[20260. 19926. 18312.],0.9317446437086436,5.6056013107299805
8,0.01957543945244176,[17290. 17634. 18945.],[20260. 19926. 18312.],0.9317446437086436,6.418930292129517
9,0.011089296113935169,[17290. 17634. 18945.],[20260. 19926. 18312.],0.9317446437086436,7.22873854637146
10,0.007765978135190473,[17290. 17634. 18945.],[20260. 19926. 18312.],0.9317446437086436,8.04154920578003
